data_source,zpid,address,price,bedrooms,bathrooms,sqft,lot_size,year_built,latitude,longitude,property_type,listing_url,zestimate,days_on_market,price_change,listing_status,photos,last_updated,price_per_sqft,has_garage,neighborhood
zillow_rapidapi,1828652,"4645 Nicollet Ave, Minneapolis, MN 55419",300000.0,2,1,1580.0,5227.2,2000,44.918087,-93.27757,Single Family,https://www.zillow.com/homedetails/4645-Nicollet-Ave-Minneapolis-MN-55419/1828652_zpid/,301100.0,29.0,-15000.0,,https://photos.zillowstatic.com/fp/780f2fff5e2bb0eb1edbc998b5396dd3-p_e.jpg,2025-05-23T18:18:22.377752,190.0,False,Roseville
zillow_rapidapi,2017057,"2745 Columbus Ave, Minneapolis, MN 55407",265000.0,3,2,1888.0,0.12,2000,44.95233,-93.26355,Single Family,https://www.zillow.com/homedetails/2745-Columbus-Ave-Minneapolis-MN-55407/2017057_zpid/,262600.0,2.0,0.0,,https://photos.zillowstatic.com/fp/945456372b3ed0c177b634e5820a4592-p_e.jpg,2025-05-23T18:18:22.377806,140.0,False,Roseville
zillow_rapidapi,445828513,"327 E 37th St, Minneapolis, MN 55409",224900.0,2,1,1288.0,2613.6,2000,44.935764,-93.27113,Single Family,https://www.zillow.com/homedetails/327-E-37th-St-Minneapolis-MN-55409/445828513_zpid/,223400.0,4.0,0.0,,https://photos.zillowstatic.com/fp/9f523c1a7a69c62ae49681aaf613a5e3-p_e.jpg,2025-05-23T18:18:22.377860,175.0,False,Roseville
zillow_rapidapi,1887690,"914 Russell Ave N, Minneapolis, MN 55411",245000.0,5,2,2824.0,0.15,2000,44.98739,-93.31065,Single Family,https://www.zillow.com/homedetails/914-Russell-Ave-N-Minneapolis-MN-55411/1887690_zpid/,245200.0,2.0,0.0,,https://photos.zillowstatic.com/fp/6a0594362941f382e96b9041c6efa724-p_e.jpg,2025-05-23T18:18:22.377915,87.0,False,Plymouth
zillow_rapidapi,1808634,"4655 Emerson Ave N, Minneapolis, MN 55412",135000.0,2,1,875.0,0.12,2000,45.04001,-93.29563,Single Family,https://www.zillow.com/homedetails/4655-Emerson-Ave-N-Minneapolis-MN-55412/1808634_zpid/,0.0,6.0,0.0,,https://photos.zillowstatic.com/fp/c2d57be282e5daeeac39673f88bf6a61-p_e.jpg,2025-05-23T18:18:22.377956,154.0,False,Blaine
zillow_rapidapi,1793821,"1720 3rd St NE, Minneapolis, MN 55413",225000.0,3,2,1917.0,10454.4,2000,45.005905,-93.265076,Single Family,https://www.zillow.com/homedetails/1720-3rd-St-NE-Minneapolis-MN-55413/1793821_zpid/,289700.0,1.0,0.0,,https://photos.zillowstatic.com/fp/69b68e4ac0ac64937456027362e03de5-p_e.jpg,2025-05-23T18:18:22.378006,117.0,False,Roseville
zillow_rapidapi,1773387,"3431 Oliver Ave N, Minneapolis, MN 55412",184900.0,3,2,2382.0,4791.6,2000,45.017742,-93.30735,Single Family,https://www.zillow.com/homedetails/3431-Oliver-Ave-N-Minneapolis-MN-55412/1773387_zpid/,0.0,28.0,0.0,,https://photos.zillowstatic.com/fp/039f69454924dbb1bfeb91026f1499b9-p_e.jpg,2025-05-23T18:18:22.378050,78.0,False,Plymouth
zillow_rapidapi,1748621,"4336 34th Ave S, Minneapolis, MN 55406",310000.0,2,1,1342.0,5662.8,2000,44.923977,-93.22331,Single Family,https://www.zillow.com/homedetails/4336-34th-Ave-S-Minneapolis-MN-55406/1748621_zpid/,313300.0,3.0,0.0,,https://photos.zillowstatic.com/fp/685a360c42c89e8ee6669346ccf22905-p_e.jpg,2025-05-23T18:18:22.378097,231.0,False,Roseville
zillow_rapidapi,1849623,"2522 Thomas Ave N, Minneapolis, MN 55411",270000.0,3,2,2354.0,5227.2,2000,45.00569,-93.31296,Single Family,https://www.zillow.com/homedetails/2522-Thomas-Ave-N-Minneapolis-MN-55411/1849623_zpid/,271000.0,30.0,0.0,,https://photos.zillowstatic.com/fp/e614d873e305134862241a9bf74e1dcd-p_e.jpg,2025-05-23T18:18:22.378149,115.0,False,Plymouth
zillow_rapidapi,1695041,"3625 19th Ave S, Minneapolis, MN 55407",360000.0,4,2,1920.0,8276.4,2000,44.936913,-93.24446,Single Family,https://www.zillow.com/homedetails/3625-19th-Ave-S-Minneapolis-MN-55407/1695041_zpid/,0.0,7.0,0.0,,https://photos.zillowstatic.com/fp/af75682169573646d4ab5c0093fe8445-p_e.jpg,2025-05-23T18:18:22.378210,188.0,False,Roseville
zillow_rapidapi,71820214,"2443 11th Ave S, Minneapolis, MN 55404",359000.0,4,2,2312.0,7405.2,2000,44.9576,-93.25841,Single Family,https://www.zillow.com/homedetails/2443-11th-Ave-S-Minneapolis-MN-55404/71820214_zpid/,359600.0,4.0,0.0,,https://photos.zillowstatic.com/fp/66900a2349a50da18e644ed9bab27c6b-p_e.jpg,2025-05-23T18:18:22.378268,155.0,False,Roseville
