data_source,zpid,address,price,bedrooms,bathrooms,sqft,lot_size,year_built,latitude,longitude,property_type,listing_url,zestimate,days_on_market,price_change,listing_status,photos,last_updated,price_per_sqft,has_garage,neighborhood,overall_score,price_score,commute_score,size_score,age_score,location_score,market_score,meets_requirements,recommendation
zillow_rapidapi,1774520,"2614 Logan Ave N, Minneapolis, MN 55411",260000.0,5.0,3.0,2464.0,5662.8,2000,45.00649,-93.302795,Single Family,https://www.zillow.com/homedetails/2614-Logan-Ave-N-Minneapolis-MN-55411/1774520_zpid/,262800.0,31.0,0.0,For Sale,https://photos.zillowstatic.com/fp/d489e5babfcc658ee1aefc496f576a68-p_e.jpg,2025-05-24T14:10:19.559215,106.0,False,Minneapolis,0.808,0.74,0.892,1.0,0.8,0.7,0.7,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,445843166,"1115 E 38th St, Minneapolis, MN 55407",299000.0,3.0,2.0,2140.0,1742.4,2000,44.933994,-93.25799,Single Family,https://www.zillow.com/homedetails/1115-E-38th-St-Minneapolis-MN-55407/445843166_zpid/,299800.0,4.0,0.0,For Sale,https://photos.zillowstatic.com/fp/70f04f91e1336496a6f7e51cef59a620-p_e.jpg,2025-05-24T14:10:19.558698,140.0,False,Minneapolis,0.806,0.701,0.878,0.935,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1808844,"4518 Colfax Ave N, Minneapolis, MN 55412",170000.0,2.0,1.0,1520.0,5227.2,2000,45.03726,-93.29231,Single Family,https://www.zillow.com/homedetails/4518-Colfax-Ave-N-Minneapolis-MN-55412/1808844_zpid/,172700.0,2.0,0.0,For Sale,https://photos.zillowstatic.com/fp/fafd8b737e30a6075299550ffd06c7b1-p_e.jpg,2025-05-24T14:10:19.558260,112.0,False,Minneapolis,0.805,0.83,0.827,0.78,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1761664,"4529 Xerxes Ave S, Minneapolis, MN 55410",435000.0,3.0,2.0,1341.0,5662.8,2000,44.92057,-93.31852,Single Family,https://www.zillow.com/homedetails/4529-Xerxes-Ave-S-Minneapolis-MN-55410/1761664_zpid/,430000.0,11.0,0.0,For Sale,https://photos.zillowstatic.com/fp/ebdc28b89274215e651240277985760b-p_e.jpg,2025-05-24T14:10:28.552001,324.0,False,Minneapolis,0.805,0.912,0.81,0.735,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1773480,"3500 Oliver Ave N, Minneapolis, MN 55412",299900.0,4.0,2.0,2902.0,10454.4,2000,45.018833,-93.30663,Single Family,https://www.zillow.com/homedetails/3500-Oliver-Ave-N-Minneapolis-MN-55412/1773480_zpid/,303900.0,10.0,0.0,For Sale,https://photos.zillowstatic.com/fp/97abf2700c8229eb2772078dc6a4a2d9-p_e.jpg,2025-05-24T14:10:19.558442,103.0,False,Minneapolis,0.802,0.7,0.86,1.0,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1711917,"3600 Harriet Ave, Minneapolis, MN 55409",359900.0,3.0,2.0,2450.0,3920.4,2000,44.93755,-93.285995,Single Family,https://www.zillow.com/homedetails/3600-Harriet-Ave-Minneapolis-MN-55409/1711917_zpid/,360800.0,4.0,0.0,For Sale,https://photos.zillowstatic.com/fp/80a024735b867df3432b8a23201924a7-p_e.jpg,2025-05-24T14:10:24.350937,147.0,False,Minneapolis,0.801,0.64,0.881,1.0,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1977179,"2929 36th Ave S, Minneapolis, MN 55406",325000.0,4.0,2.0,2436.0,0.12,2000,44.949203,-93.22002,Single Family,https://www.zillow.com/homedetails/2929-36th-Ave-S-Minneapolis-MN-55406/1977179_zpid/,336700.0,18.0,0.0,For Sale,https://photos.zillowstatic.com/fp/d9260e938eddc08bd9581314b68f1009-p_e.jpg,2025-05-24T14:10:19.560843,133.0,False,Minneapolis,0.8,0.675,0.882,1.0,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,82641436,"5829 12th Ave S, Minneapolis, MN 55417",285000.0,3.0,2.0,2732.0,6098.4,2000,44.896812,-93.25743,Single Family,https://www.zillow.com/homedetails/5829-12th-Ave-S-Minneapolis-MN-55417/82641436_zpid/,457500.0,4.0,0.0,For Sale,https://photos.zillowstatic.com/fp/27693f8c12d6abb202bbac0077013401-p_e.jpg,2025-05-24T14:10:19.559837,104.0,False,Minneapolis,0.799,0.715,0.776,1.0,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,82643900,"5413 42nd Ave S, Minneapolis, MN 55417",269900.0,3.0,1.0,1147.0,5227.2,2000,44.90492,-93.21233,Single Family,https://www.zillow.com/homedetails/5413-42nd-Ave-S-Minneapolis-MN-55417/82643900_zpid/,268800.0,1.0,0.0,For Sale,https://photos.zillowstatic.com/fp/ee149c046f1bb04209b068fbaf0bb94d-p_e.jpg,2025-05-24T14:10:19.559267,235.0,False,Minneapolis,0.796,0.73,0.774,0.956,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,445828513,"327 E 37th St, Minneapolis, MN 55409",224900.0,2.0,1.0,1288.0,2613.6,2000,44.935764,-93.27113,Single Family,https://www.zillow.com/homedetails/327-E-37th-St-Minneapolis-MN-55409/445828513_zpid/,223600.0,5.0,0.0,For Sale,https://photos.zillowstatic.com/fp/9f523c1a7a69c62ae49681aaf613a5e3-p_e.jpg,2025-05-24T14:10:19.560234,175.0,False,Minneapolis,0.794,0.775,0.883,0.722,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
